Item,BIB ID,Title,Author,Call Number,Number of Loans in 2020,Notes,URL in HKPL online catalogue
1,2300215,The five people you meet in heaven ,"Albom, Mitch",F ALB,808,,https://webcat.hkpl.gov.hk/lib/item?id=chamo:2300215
2,3524485,The next person you meet in Heaven ,"Albom, Mitch",F ALB,635,[1],https://webcat.hkpl.gov.hk/lib/item?id=chamo:3524485
3,3395449,Animal farm : a fairy story ,"Orwell, George",F ORW,621,[1],https://webcat.hkpl.gov.hk/lib/item?id=chamo:3395449
4,3239705,"The hobbit, or, There and back again ","Tolkien, J. R. R. (John Ronald Reuel)",F TOL,605,[1],https://webcat.hkpl.gov.hk/lib/item?id=chamo:3239705
5,3290171,The Great Gatsby ,"Fitzgerald, F. Scott (Francis Scott)",F FIT,599,[1],https://webcat.hkpl.gov.hk/lib/item?id=chamo:3290171
6,3221134,The time keeper ,"Albom, Mitch",F ALB,583,,https://webcat.hkpl.gov.hk/lib/item?id=chamo:3221134
7,3323612,Murder on the Orient Express ,"Christie, Agatha",F CHR,507,[1],https://webcat.hkpl.gov.hk/lib/item?id=chamo:3323612
8,2696331,For one more day ,"Albom, Mitch",F ALB,501,[1],https://webcat.hkpl.gov.hk/lib/item?id=chamo:2696331
9,3206103,Nineteen eighty-four ,"Orwell, George",F ORW,500,[1],https://webcat.hkpl.gov.hk/lib/item?id=chamo:3206103
10,3239694,The fellowship of the ring : being the first part of The lord of the rings  [The lord of the rings],"Tolkien, J. R. R. (John Ronald Reuel)",F TOL,499,[1] [ 2],https://webcat.hkpl.gov.hk/lib/item?id=chamo:3239694
11,3476707,Origin : a novel ,"Brown, Dan, 1964-",F BRO,484,[1],https://webcat.hkpl.gov.hk/lib/item?id=chamo:3476707
12,3215497,Me before you ,"Moyes, Jojo, 1969-",F MOY,480,[1],https://webcat.hkpl.gov.hk/lib/item?id=chamo:3215497
13,3210881,Little women ,"Alcott, Louisa May",F ALC,475,[1],https://webcat.hkpl.gov.hk/lib/item?id=chamo:3210881
14,3224541,The adventures of Sherlock Holmes ,"Doyle, Arthur Conan",F DOY,443,[1],https://webcat.hkpl.gov.hk/lib/item?id=chamo:3224541
15,2842930,The ABC murders ,"Christie, Agatha",F CHR,436,[1],https://webcat.hkpl.gov.hk/lib/item?id=chamo:2842930
16,3467849,And then there were none ,"Christie, Agatha",F CHR,420,[1],https://webcat.hkpl.gov.hk/lib/item?id=chamo:3467849
17,3491239,To kill a mockingbird ,"Lee, Harper",F LEE,408,[1],https://webcat.hkpl.gov.hk/lib/item?id=chamo:3491239
18,3347145,A game of thrones ,"Martin, George R. R.",F MAR,398,[1],https://webcat.hkpl.gov.hk/lib/item?id=chamo:3347145
19,3566857,The guardians ,"Grisham, John",F GRI,385,[1],https://webcat.hkpl.gov.hk/lib/item?id=chamo:3566857
20,3345104,Death on the Nile ,"Christie, Agatha",YF CHR,360,[1],https://webcat.hkpl.gov.hk/lib/item?id=chamo:3345104
21,3293279,Pride and prejudice ,"Austen, Jane",F AUS,360,[1],https://webcat.hkpl.gov.hk/lib/item?id=chamo:3293279
22,3339250,The girl on the train ,"Hawkins, Paula",F HAW,346,[1],https://webcat.hkpl.gov.hk/lib/item?id=chamo:3339250
23,2493093,The Da Vinci code ,"Brown, Dan",F BRO,339,[1],https://webcat.hkpl.gov.hk/lib/item?id=chamo:2493093
24,3357860,The curious incident of the dog in the night-time ,"Haddon, Mark",F HAD,338,[1],https://webcat.hkpl.gov.hk/lib/item?id=chamo:3357860
25,2090855,The catcher in the rye ,J.D. Salinger.,F SAL,336,[1],https://webcat.hkpl.gov.hk/lib/item?id=chamo:2090855
26,3528506,Crazy rich Asians ,"Kwan, Kevin",F KWA,334,[1],https://webcat.hkpl.gov.hk/lib/item?id=chamo:3528506
27,3267184,Lord of the flies ,"Golding, William",F GOL,329,[1],https://webcat.hkpl.gov.hk/lib/item?id=chamo:3267184
28,3471383,IT ,"King, Stephen",F KIN,326,[1],https://webcat.hkpl.gov.hk/lib/item?id=chamo:3471383
29,3524580,The reckoning ,"Grisham, John",F GRI,309,,https://webcat.hkpl.gov.hk/lib/item?id=chamo:3524580
30,2507364,"Brave new world : and, Brave new world revisited ","Huxley, Aldous",F HUX,298,[1],https://webcat.hkpl.gov.hk/lib/item?id=chamo:2507364
31,3448394,The handmaid's tale ,"Atwood, Margaret",F ATW,297,[1],https://webcat.hkpl.gov.hk/lib/item?id=chamo:3448394
32,3164375,Never let me go ,"Ishiguro, Kazuo",F ISH,295,[1],https://webcat.hkpl.gov.hk/lib/item?id=chamo:3164375
33,3504428,Still me ,"Moyes, Jojo, 1969-",F MOY,295,[1],https://webcat.hkpl.gov.hk/lib/item?id=chamo:3504428
34,3569369,Blue moon : a Jack Reacher novel ,"Child, Lee",F CHI,293,,https://webcat.hkpl.gov.hk/lib/item?id=chamo:3569369
