Item,BIB ID,Title,Author,Call Number,Number of Loans in 2020,Notes,URL in HKPL online catalogue
1,3571243,Hong Kong Diploma of Secondary Education Examination. English language 2019. ,Hong Kong Examinations and Assessment Authority,371.27 HON," 2,256 ",[2],https://webcat.hkpl.gov.hk/lib/item?id=chamo:3571243
2,3529096,Becoming ,"Obama, Michelle",973.932092 OBA," 1,665 ",[1],https://webcat.hkpl.gov.hk/lib/item?id=chamo:3529096
3,2538695,Language proficiency assessment for teachers. English language ... question papers ,Hong Kong Examinations and Assessment Authority,371.13095125 HON," 1,170 ",,https://webcat.hkpl.gov.hk/lib/item?id=chamo:2538695
4,3520912,21 lessons for the 21st century ,"Harari, Yuval N.",909.82 HAR," 1,081 ",[1],https://webcat.hkpl.gov.hk/lib/item?id=chamo:3520912
5,3183883,"Thinking, fast and slow ","Kahneman, Daniel",153 KAH," 1,069 ",,https://webcat.hkpl.gov.hk/lib/item?id=chamo:3183883
6,3436675,Cambridge English IELTS. 10 : with answers : authentic examination papers from Cambridge English language assessment. (IELTS practice tests series),,428.24 CAM, 950 ,[1] [2],https://webcat.hkpl.gov.hk/lib/item?id=chamo:3436675
7,3525808,Hong Kong taxation and tax planning ,"Ho, Patrick Kin-wai",336.2095125 HOP, 827 ,[1],https://webcat.hkpl.gov.hk/lib/item?id=chamo:3525808
8,3468983,Barron's essential words for the IELTS ,"Lougheed, Lin",428.24 LOU, 817 ,[1],https://webcat.hkpl.gov.hk/lib/item?id=chamo:3468983
9,3487763,Sapiens : a brief history of humankind ,"Harari, Yuval N.",909 HAR, 775 ,[1],https://webcat.hkpl.gov.hk/lib/item?id=chamo:3487763
10,3474440,On tyranny : twenty lessons from the twentieth century ,"Snyder, Timothy",321.9 SNY, 734 ,,https://webcat.hkpl.gov.hk/lib/item?id=chamo:3474440
11,3499357,Factfulness : ten reasons we're wrong about the world-- and why things are better than you think ,"Rosling, Hans",302.12 ROS, 684 ,,https://webcat.hkpl.gov.hk/lib/item?id=chamo:3499357
12,3403438,Hong Kong company law ,"Stott, Vanessa",347.7 STO, 683 ,[1],https://webcat.hkpl.gov.hk/lib/item?id=chamo:3403438
13,3563374,Talking to strangers : what we should know about the people we don't know ,"Gladwell, Malcolm",302 GLA, 611 ,,https://webcat.hkpl.gov.hk/lib/item?id=chamo:3563374
14,3487677,Principles ,"Dalio, Ray",650.1 DAL, 545 ,,https://webcat.hkpl.gov.hk/lib/item?id=chamo:3487677
15,3504849,Bad blood : secrets and lies in a Silicon Valley startup ,"Carreyrou, John",338.7681761 CAR, 537 ,,https://webcat.hkpl.gov.hk/lib/item?id=chamo:3504849
16,3440121,The Hong Kong company secretary's handbook : practice and procedure ,"Cheng, Po Wah",651.3741 CHE, 534 ,[1],https://webcat.hkpl.gov.hk/lib/item?id=chamo:3440121
17,3508457,Frank Wood's business accounting 1  ,"Sangster, Alan",657 WOO, 533 ,[1] [2],https://webcat.hkpl.gov.hk/lib/item?id=chamo:3508457
18,3496284,Educated : a memoir ,"Westover, Tara.",270.092 WES, 524 ,,https://webcat.hkpl.gov.hk/lib/item?id=chamo:3496284
19,3437300,Advanced taxation in Hong Kong ,"Lee, Dora L. Y.",336.2095125 LEE, 518 ,[1],https://webcat.hkpl.gov.hk/lib/item?id=chamo:3437300
20,2896957,"Tuesdays with Morrie : an old man, a young man, and life's greatest lesson ","Albom, Mitch",920 SCH, 518 ,[1],https://webcat.hkpl.gov.hk/lib/item?id=chamo:2896957
21,3515428,A photographic guide to common urban trees of Hong Kong ,,582.16095125 PHO, 500 ,[1],https://webcat.hkpl.gov.hk/lib/item?id=chamo:3515428
22,3461211,In order to live : a North Korean girl's journey to freedom ,"Park, Yeonmi",325.21095193 PAR, 483 ,[1],https://webcat.hkpl.gov.hk/lib/item?id=chamo:3461211
23,3358330,Barron's IELTS : International English Language Testing System ,"Lougheed, Lin",428.24 LOU, 481 ,[1],https://webcat.hkpl.gov.hk/lib/item?id=chamo:3358330
24,3531247,The Norton anthology of English literature ,,820.82 NOR, 476 ,[1],https://webcat.hkpl.gov.hk/lib/item?id=chamo:3531247
25,3189087,Cambridge IELTS. 8 : examination papers from University of Cambridge ESOL Examinations. ,,428.24 CAM, 468 ,[2],https://webcat.hkpl.gov.hk/lib/item?id=chamo:3189087
26,3449536,Homo deus : a brief history of tomorrow ,"Harari, Yuval N.",909.83 HAR, 468 ,[1],https://webcat.hkpl.gov.hk/lib/item?id=chamo:3449536
27,2560273,Lonely Planet Great Britain.,,914.2 LON, 466 ,,https://webcat.hkpl.gov.hk/lib/item?id=chamo:2560273
28,2944004,The AB guide to music theory ,"Taylor, Eric Robert",781 TAY, 423 ,,https://webcat.hkpl.gov.hk/lib/item?id=chamo:2944004
29,3563388,Permanent record ,"Snowden, Edward J.",327.12730092 SNO, 420 ,,https://webcat.hkpl.gov.hk/lib/item?id=chamo:3563388
30,3542290,"Atomic habits : tiny changes, remarkable results : an easy and proven way to build good habits and break bad ones ","Clear, James",155.24 CLE, 418 ,,https://webcat.hkpl.gov.hk/lib/item?id=chamo:3542290
31,3016441,Ma Shi Chau : geopark field guide ,,555.125 GEO, 412 ,,https://webcat.hkpl.gov.hk/lib/item?id=chamo:3016441
32,3507811,12 rules for life : an antidote for chaos ,"Peterson, Jordan B.",158.1 PET, 408 ,,https://webcat.hkpl.gov.hk/lib/item?id=chamo:3507811
33,3394724,When breath becomes air ,"Kalanithi, Paul",616.99424 KAL, 403 ,,https://webcat.hkpl.gov.hk/lib/item?id=chamo:3394724
